Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score
1,0.2028,93.50,0.9349169585539173,0.9348983574663199,0.9348798160312864,0.0983,96.83,0.9676686800697447,0.9694378342847426,0.9683012170304599
2,0.0935,97.02,0.9703123858686641,0.9703161865367043,0.9703120533239145,0.0602,98.00,0.9808835994328613,0.9783446104514398,0.9794738488791565
3,0.0750,97.58,0.9758074888523406,0.975805831634744,0.9758059200418211,0.0780,97.41,0.9756802680017229,0.9733246939834687,0.9743178316748874
4,0.0628,97.94,0.9794132671255097,0.97941721159424,0.9794136224282174,0.0670,97.69,0.9767981906612798,0.9773530739447192,0.9768108544771064
5,0.0515,98.30,0.9830416756984701,0.983039979910481,0.9830400128487651,0.0405,98.72,0.9868783453843003,0.9869143965307994,0.986882191745655
6,0.0464,98.43,0.9843259041384074,0.9843380094653593,0.9843312244116507,0.0989,97.34,0.9740205099679137,0.9746782996623732,0.9737366220533367
7,0.0438,98.58,0.9858135985151082,0.9858122572861053,0.9858118171542984,0.0497,98.39,0.9836523002941036,0.9838842140223161,0.9837464050197021
8,0.0396,98.68,0.9867812905083004,0.986777217135717,0.9867788036889932,0.0389,98.76,0.9870202723508097,0.9882003944697954,0.9875588054453601
9,0.0360,98.81,0.9881475301578799,0.9881504259924512,0.9881488352995073,0.0316,98.98,0.9898851832205943,0.9893173957103065,0.9895891021314527
10,0.0321,98.96,0.9895992786149956,0.989592227312444,0.9895953480903779,0.0427,98.59,0.9855191844262738,0.9860614871969281,0.9856940506115719
11,0.0336,98.91,0.9891245005762076,0.9891201979610997,0.9891218423008683,0.0331,98.87,0.9885194809018538,0.9886543443417798,0.9885754199313236
12,0.0258,99.16,0.9915752359974034,0.9915711914813818,0.9915728241491159,0.0331,99.00,0.990249192328527,0.9896416731418479,0.9899170111163529
13,0.0271,99.11,0.991134316388639,0.991137002140316,0.9911354265119383,0.0493,98.45,0.9840472385266347,0.9853153434332711,0.9844528679651897
14,0.0262,99.11,0.9910632120933506,0.9910583417820901,0.9910607113637729,0.0563,98.27,0.9829371766247298,0.9838137257006322,0.9830972360968393
15,0.0268,99.12,0.9912239112000576,0.9912251192618223,0.9912244268607454,0.0271,99.18,0.9913348207765714,0.9918526660012478,0.9915854741155132
17,0.0221,99.26,0.9926088839054857,0.9926123263818754,0.9926104614185576,0.0268,99.11,0.991471752529406,0.9909318365829589,0.9911876858315362
18,0.0203,99.35,0.9934860656330048,0.9934868138726998,0.9934862350856692,0.0363,98.83,0.9875801304195639,0.989045014395434,0.988263650257614
19,0.0228,99.28,0.9928130281710487,0.9928144233926773,0.992813621483939,0.0457,98.96,0.9891355421747908,0.989597665957801,0.9893385753847339
20,0.0204,99.32,0.9931813307250731,0.9931810111405404,0.9931811385193553,0.0392,99.03,0.9905024922609099,0.989600492710225,0.9900335157964181
21,0.0176,99.44,0.9943797679243708,0.9943807337778604,0.9943801954908946,0.0287,99.05,0.990879908525563,0.9900211357145974,0.9904369664310688
22,0.0184,99.43,0.9943200513791088,0.9943177744292662,0.9943188121702372,0.0254,99.26,0.9922659548065302,0.9925637696600575,0.9924041875418885
23,0.0168,99.45,0.9945367817194583,0.9945297261461263,0.9945331090199231,0.0521,98.86,0.988227676940147,0.9886919033946181,0.9884413639841019
